id,name,entityType,layer,familyId,causalIn,causalOut,causalIsolated,modifiable,activeEffectIds,deliveryModalities,derivationInputs,rdsFlags,blockedFields,nativeActionsEventsEffectIds
BIO-011,Physiological Stress Reactivity,DRIVER,Biological,BIO-F02,0,0,True,Low,[],[],[],[],[],[]
BIO-012,Hunger Intensity,DRIVER,Biological,BIO-F03,0,0,True,High,[],[],[],[],[],[]
BIO-013,Satiety Signal Intensity,DRIVER,Biological,BIO-F03,0,0,True,High,[],[],[],[],[],[]
BIO-014,Thirst Intensity,DRIVER,Biological,BIO-F03,0,0,True,High,[],[],[],[],[],[]
BIO-015,Hydration Status,DRIVER,Biological,BIO-F03,1,1,False,High,[],[],[],[],[],[]
BIO-016,Blood Glucose Availability,DRIVER,Biological,BIO-F03,0,1,False,High,[],[],[],[],[],[]
BIO-017,Nausea Intensity,DRIVER,Biological,BIO-F03,0,0,True,High,[],[],[],[],[],[]
BIO-018,Dyspnea Intensity,DRIVER,Biological,BIO-F03,0,0,True,High,[],[],[],[],[],[]
BIO-019,Visceral Urgency,DRIVER,Biological,BIO-F03,0,0,True,High,[],[],[],[],[],[]
BIO-020,Tissue Oxygen Availability,DRIVER,Biological,BIO-F04,0,1,False,Moderate,[],[],[],[],[],[]
BIO-021,Intermittent Hypoxemia Burden,DRIVER,Biological,BIO-F04,0,0,True,Moderate,[],[],[],[],[],[]
BIO-022,Carbon Dioxide Burden,DRIVER,Biological,BIO-F04,0,0,True,Moderate,[],[],[],[],[],[]
BIO-023,Heat Strain,DRIVER,Biological,BIO-F04,2,0,False,High,[],[],[],[],[],[]
BIO-024,Cold Strain,DRIVER,Biological,BIO-F04,0,0,True,High,[],[],[],[],[],[]
BIO-025,Physical Fatigue,DRIVER,Biological,BIO-F05,1,1,False,High,[],[],[],[],[],[]
BIO-026,Cognitive Fatigue,DRIVER,Biological,BIO-F05,7,1,False,High,[],[],[],[],[],[]
BIO-027,Acute Pain Intensity,DRIVER,Biological,BIO-F05,0,1,False,High,[],[],[],[],[],[]
BIO-028,Persistent Pain Burden,DRIVER,Biological,BIO-F05,0,1,False,Moderate,[],[],[],[],[],[]
BIO-029,Physical Functional Capacity,DRIVER,Biological,BIO-F05,2,0,False,High,[],[],[],[],[],[]
BIO-030,Sickness Response Intensity,DRIVER,Biological,BIO-F06,1,1,False,High,[],[],[],[],[],[]
BIO-031,Systemic Inflammatory Activity,DRIVER,Biological,BIO-F06,0,1,False,Moderate,[],[],[],[],[],[]
BIO-032,Auditory Capacity,DRIVER,Biological,BIO-F07,0,1,False,Moderate,[],[],[],[],[],[]
BIO-033,Visual Capacity,DRIVER,Biological,BIO-F07,0,0,True,Moderate,[],[],[],[],[],[]
BIO-034,Olfactory Capacity,DRIVER,Biological,BIO-F07,0,0,True,Moderate,[],[],[],[],[],[]
BIO-035,Vestibular Stability,DRIVER,Biological,BIO-F07,0,0,True,Moderate,[],[],[],[],[],[]
BIO-036,Somatosensory–Proprioceptive Capacity,DRIVER,Biological,BIO-F07,0,0,True,Moderate,[],[],[],[],[],[]
BIO-037,Tinnitus Burden,DRIVER,Biological,BIO-F07,0,0,True,Moderate,[],[],[],[],[],[]
BIO-038,Nutritional Energy Sufficiency,DRIVER,Biological,BIO-F08,0,0,True,High,[],[],[],[],[],[]
BIO-039,Blood Oxygen-Carrying Capacity,DRIVER,Biological,BIO-F08,1,1,False,Moderate,[],[],[],[],[],[]
BIO-040,Iron Status,DRIVER,Biological,BIO-F08,0,1,False,High,[],[],[],[],[],[]
BIO-041,Vitamin B12 Status,DRIVER,Biological,BIO-F08,0,0,True,High,[],[],[],[],[],[]
BIO-042,Glycemic Regulation,DRIVER,Biological,BIO-F08,0,0,True,Moderate,[],[],[],[],[],[]
BIO-043,Thyroid Hormone Status,DRIVER,Biological,BIO-F09,0,0,True,High,[],[],[],[],[],[]
BIO-044,Pubertal Maturation,DRIVER,Biological,BIO-F09,0,0,True,Low,[],[],[],[],[],[]
BIO-045,Pregnancy-Related Physiological Load,DRIVER,Biological,BIO-F09,0,0,True,Moderate,[],[],[],[],[],[]
BIO-046,Menopausal Transition State,DRIVER,Biological,BIO-F09,0,0,True,Moderate,[],[],[],[],[],[]
BIO-047,Reproductive Hormonal State,DRIVER,Biological,BIO-F09,0,0,True,Low,[],[],[],[],[],[]
BIO-048,Sexual Arousal Intensity,DRIVER,Biological,BIO-F09,0,0,True,High,[],[],[],[],[],[]
BIO-049,Neurodevelopmental Maturity,DRIVER,Biological,BIO-F10,0,0,True,Low,[],[],[],[],[],[]
BIO-050,Biological Aging Burden,DRIVER,Biological,BIO-F10,0,0,True,Low,[],[],[],[],[],[]
BIO-051,Frailty Severity,DRIVER,Biological,BIO-F10,0,0,True,Moderate,[],[],[],[],[],[]
BIO-052,Polygenic Liability Profile,DRIVER,Biological,BIO-F11,0,0,True,Low,[],[],[],[],[],[]
BIO-053,Traumatic Brain Injury Burden,DRIVER,Biological,BIO-F12,0,0,True,Moderate,[],[],[],[],[],[]
BIO-054,Acute Encephalopathy Severity,DRIVER,Biological,BIO-F12,0,0,True,High,[],[],[],[],[],[]
BIO-055,Postictal Impairment Severity,DRIVER,Biological,BIO-F12,0,0,True,High,[],[],[],[],[],[]
BIO-056,Focal Neurological Impairment,DRIVER,Biological,BIO-F12,0,0,True,Moderate,[],[],[],[],[],[]
BIO-057,Neurodegenerative Impairment,DRIVER,Biological,BIO-F12,0,0,True,Moderate,[],[],[],[],[],[]
BIO-058,Alcohol Effect Level,DRIVER,Biological,BIO-F13,0,1,False,High,[],[],[],[],[],[]
BIO-059,THC Effect Level,DRIVER,Biological,BIO-F13,0,0,True,High,[],[],[],[],[],[]
BIO-060,Nicotine Effect Level,DRIVER,Biological,BIO-F13,0,0,True,High,[],[],[],[],[],[]
BIO-061,Caffeine Effect Level,DRIVER,Biological,BIO-F13,0,1,False,High,[],[],[],[],[],[]
BIO-062,Sedative–Hypnotic Effect Level,DRIVER,Biological,BIO-F13,0,1,False,Moderate,[],[],[],[],[],[]
BIO-063,Opioid Effect Level,DRIVER,Biological,BIO-F13,0,0,True,Moderate,[],[],[],[],[],[]
BIO-064,Stimulant Effect Level,DRIVER,Biological,BIO-F13,0,0,True,High,[],[],[],[],[],[]
BIO-065,Nicotine Withdrawal Severity,DRIVER,Biological,BIO-F14,0,1,False,High,[],[],[],[],[],[]
BIO-066,Caffeine Withdrawal Severity,DRIVER,Biological,BIO-F14,0,1,False,High,[],[],[],[],[],[]
BIO-067,Alcohol Withdrawal Severity,DRIVER,Biological,BIO-F14,0,0,True,High,[],[],[],[],[],[]
BIO-068,Cannabis Withdrawal Severity,DRIVER,Biological,BIO-F14,0,0,True,High,[],[],[],[],[],[]
BIO-069,Opioid Withdrawal Severity,DRIVER,Biological,BIO-F14,0,0,True,High,[],[],[],[],[],[]
BIO-070,Medication Cognitive–Sedative Burden,DRIVER,Biological,BIO-F13,0,1,False,Moderate,[],[],[],[],[],[]
BIO-071,Cardiorespiratory Functional Reserve,DRIVER,Biological,BIO-F05,0,0,True,Moderate,[],[],[],[],[],[]
BIO-072,Infectious Pathogen Burden,DRIVER,Biological,BIO-F06,0,0,True,Moderate,[],[],[],[],[],[]
BIO-073,Chronotype,DRIVER,Biological,BIO-F01,0,0,True,,[],[],[],"[""ENTITY_BLOCKED_FIELDS""]","[""mechanism"", ""modifiability"", ""volatility"", ""timeScaleOfChange"", ""onsetCausalLag"", ""persistenceRecovery"", ""measurementAssessmentMethods"", ""observability"", ""evidenceStrength"", ""evidenceNotes"", ""keySources""]",[]
BIO-074,Physiological Sleep Need,DRIVER,Biological,BIO-F01,0,0,True,,[],[],[],"[""ENTITY_BLOCKED_FIELDS""]","[""mechanism"", ""modifiability"", ""volatility"", ""timeScaleOfChange"", ""onsetCausalLag"", ""persistenceRecovery"", ""measurementAssessmentMethods"", ""observability"", ""evidenceStrength"", ""evidenceNotes"", ""keySources""]",[]
CUL-001,Shared Self-Direction Value Prominence,DRIVER,Cultural,CUL-F01,0,0,True,Low,[],[],[],[],[],[]
CUL-002,Shared Stimulation Value Prominence,DRIVER,Cultural,CUL-F01,0,0,True,Low,[],[],[],[],[],[]
CUL-003,Shared Hedonism Value Prominence,DRIVER,Cultural,CUL-F01,0,0,True,Low,[],[],[],[],[],[]
CUL-004,Shared Achievement Value Prominence,DRIVER,Cultural,CUL-F01,0,0,True,Low,[],[],[],[],[],[]
CUL-005,Shared Power Value Prominence,DRIVER,Cultural,CUL-F01,0,0,True,Low,[],[],[],[],[],[]
CUL-006,Shared Security Value Prominence,DRIVER,Cultural,CUL-F01,0,1,False,Low,[],[],[],[],[],[]
CUL-007,Shared Conformity Value Prominence,DRIVER,Cultural,CUL-F01,0,0,True,Low,[],[],[],[],[],[]
CUL-008,Shared Tradition Value Prominence,DRIVER,Cultural,CUL-F01,0,1,False,Low,[],[],[],[],[],[]
CUL-009,Shared Benevolence Value Prominence,DRIVER,Cultural,CUL-F01,0,0,True,Low,[],[],[],[],[],[]
CUL-010,Shared Universalism Value Prominence,DRIVER,Cultural,CUL-F01,0,0,True,Low,[],[],[],[],[],[]
CUL-011,Autonomous Selfhood Model Prevalence,DRIVER,Cultural,CUL-F02,0,0,True,Low,[],[],[],[],[],[]
CUL-012,Interdependent Selfhood Model Prevalence,DRIVER,Cultural,CUL-F02,0,0,True,Low,[],[],[],[],[],[]
CUL-013,Relational Selfhood Model Prevalence,DRIVER,Cultural,CUL-F02,0,0,True,Low,[],[],[],[],[],[]
CUL-014,Collective Selfhood Model Prevalence,DRIVER,Cultural,CUL-F02,0,0,True,Low,[],[],[],[],[],[]
CUL-015,Influence-as-Agency Norm Strength,DRIVER,Cultural,CUL-F02,1,0,False,Low,[],[],[],[],[],[]
CUL-016,Adjustment-as-Agency Norm Strength,DRIVER,Cultural,CUL-F02,0,0,True,Low,[],[],[],[],[],[]
CUL-017,Cultural Tightness,DRIVER,Cultural,CUL-F03,1,1,False,Moderate,[],[],[],[],[],[]
CUL-018,Cultural Deviance Tolerance,DRIVER,Cultural,CUL-F03,1,0,False,Moderate,[],[],[],[],[],[]
CUL-019,Honor Norm Strength,DRIVER,Cultural,CUL-F04,0,2,False,Low,[],[],[],[],[],[]
CUL-020,Face-Preservation Norm Strength,DRIVER,Cultural,CUL-F04,1,1,False,Low,[],[],[],[],[],[]
CUL-021,Dignity Norm Strength,DRIVER,Cultural,CUL-F04,0,0,True,Low,[],[],[],[],[],[]
CUL-022,Prestige Valuation Prominence,DRIVER,Cultural,CUL-F04,1,0,False,Low,[],[],[],[],[],[]
CUL-023,Authority Deference Norm Strength,DRIVER,Cultural,CUL-F04,0,3,False,Low,[],[],[],[],[],[]
CUL-024,Kinship Obligation Strength,DRIVER,Cultural,CUL-F05,0,1,False,Low,[],[],[],[],[],[]
CUL-025,Filial Obligation Strength,DRIVER,Cultural,CUL-F05,0,0,True,Low,[],[],[],[],[],[]
CUL-026,Lineage Loyalty Norm Strength,DRIVER,Cultural,CUL-F05,0,0,True,Low,[],[],[],[],[],[]
CUL-027,Family Obligation Strength,DRIVER,Cultural,CUL-F05,1,1,False,Low,[],[],[],[],[],[]
CUL-028,Conformist Transmission Prevalence,DRIVER,Cultural,CUL-F06,0,1,False,Moderate,[],[],[],[],[],[]
CUL-029,Prestige-Biased Transmission Prevalence,DRIVER,Cultural,CUL-F06,0,1,False,Moderate,[],[],[],[],[],[]
CUL-030,Success-Biased Transmission Prevalence,DRIVER,Cultural,CUL-F06,0,0,True,Moderate,[],[],[],[],[],[]
CUL-031,Vertical Cultural Transmission Prevalence,DRIVER,Cultural,CUL-F06,1,1,False,Moderate,[],[],[],[],[],[]
CUL-032,Elder-Model Transmission Prevalence,DRIVER,Cultural,CUL-F06,0,1,False,Moderate,[],[],[],[],[],[]
CUL-033,Collective Memory Salience,DRIVER,Cultural,CUL-F07,0,1,False,Very Low,[],[],[],[],[],[]
CUL-034,Canonical Narrative Centrality,DRIVER,Cultural,CUL-F07,0,1,False,Very Low,[],[],[],[],[],[]
CUL-035,Historical Grievance Narrative Centrality,DRIVER,Cultural,CUL-F07,1,0,False,Very Low,[],[],[],[],[],[]
CUL-036,Founding Narrative Centrality,DRIVER,Cultural,CUL-F07,0,1,False,Very Low,[],[],[],[],[],[]
CUL-037,Cultural Schema Consensus,DRIVER,Cultural,CUL-F07,2,0,False,Very Low,[],[],[],[],[],[]
CUL-038,Symbolic Boundary Salience,DRIVER,Cultural,CUL-F07,1,1,False,Very Low,[],[],[],[],[],[]
CUL-039,Ritual Participation Expectation,DRIVER,Cultural,CUL-F08,2,0,False,Low,[],[],[],[],[],[]
CUL-040,Ritual Synchronization Degree,DRIVER,Cultural,CUL-F08,0,1,False,Low,[],[],[],[],[],[]
CUL-041,Ritual Participation Cost,DRIVER,Cultural,CUL-F08,0,1,False,Low,[],[],[],[],[],[]
CUL-042,Shared Sacred-Value Commitment Prevalence,DRIVER,Cultural,CUL-F09,0,1,False,Very Low,[],[],[],[],[],[]
CUL-043,Sacred Trade-Off Prohibition Strength,DRIVER,Cultural,CUL-F09,1,2,False,Very Low,[],[],[],[],[],[]
CUL-044,Purity Norm Strength,DRIVER,Cultural,CUL-F09,0,2,False,Very Low,[],[],[],[],[],[]
CUL-045,Taboo Strength,DRIVER,Cultural,CUL-F09,1,0,False,Very Low,[],[],[],[],[],[]
CUL-046,Cultural Moralization Degree,DRIVER,Cultural,CUL-F09,1,0,False,Very Low,[],[],[],[],[],[]
CUL-047,High-Arousal Positive Ideal-Affect Prominence,DRIVER,Cultural,CUL-F10,0,1,False,Moderate,[],[],[],[],[],[]
CUL-048,Low-Arousal Positive Ideal-Affect Prominence,DRIVER,Cultural,CUL-F10,0,0,True,Moderate,[],[],[],[],[],[]
CUL-049,Emotional Display-Rule Strength,DRIVER,Cultural,CUL-F10,0,1,False,Moderate,[],[],[],[],[],[]
CUL-050,Emotional Restraint Norm Strength,DRIVER,Cultural,CUL-F10,1,0,False,Moderate,[],[],[],[],[],[]
CUL-051,Anger Expression Legitimacy,DRIVER,Cultural,CUL-F10,1,0,False,Moderate,[],[],[],[],[],[]
CUL-052,Contextual Attention Convention Prevalence,DRIVER,Cultural,CUL-F11,0,1,False,Low,[],[],[],[],[],[]
CUL-053,Object-Focused Attention Convention Prevalence,DRIVER,Cultural,CUL-F11,0,0,True,Low,[],[],[],[],[],[]
CUL-054,Dialectical Reasoning Convention Prevalence,DRIVER,Cultural,CUL-F11,0,1,False,Low,[],[],[],[],[],[]
CUL-055,Contextual Causal-Explanation Convention,DRIVER,Cultural,CUL-F11,1,0,False,Low,[],[],[],[],[],[]
CUL-056,Tradition-Based Epistemic Authority,DRIVER,Cultural,CUL-F11,1,1,False,Low,[],[],[],[],[],[]
CUL-057,Communication Directness Convention,DRIVER,Cultural,CUL-F12,2,1,False,Moderate,[],[],[],[],[],[]
CUL-058,Politeness Convention Strength,DRIVER,Cultural,CUL-F12,0,1,False,Moderate,[],[],[],[],[],[]
CUL-059,Honorific Use Norm Strength,DRIVER,Cultural,CUL-F12,1,0,False,Moderate,[],[],[],[],[],[]
CUL-060,Euphemism Use Norm Strength,DRIVER,Cultural,CUL-F12,1,1,False,Moderate,[],[],[],[],[],[]
CUL-061,Cultural Norm Entrenchment,DRIVER,Cultural,CUL-F03,4,2,False,Low,[],[],[],[],[],[]
CUL-062,Normative Scope Breadth,DRIVER,Cultural,CUL-F03,0,0,True,Moderate,[],[],[],[],[],[]
CUL-063,Tradition Continuity Norm Strength,DRIVER,Cultural,CUL-F03,3,0,False,Low,[],[],[],[],[],[]
CUL-064,Corruption Tolerance Norm Strength,DRIVER,Cultural,CUL-F03,0,1,False,Moderate,[],[],[],[],[],[]
CUL-065,Reputation-Defense Obligation Strength,DRIVER,Cultural,CUL-F04,1,0,False,Moderate,[],[],[],[],[],[]
CUL-066,Hospitality Obligation Strength,DRIVER,Cultural,CUL-F05,0,0,True,Low,[],[],[],[],[],[]
CUL-067,Communal Resource-Sharing Obligation,DRIVER,Cultural,CUL-F05,1,0,False,Low,[],[],[],[],[],[]
CUL-068,Gender-Role Prescriptiveness,DRIVER,Cultural,CUL-F05,0,0,True,Low,[],[],[],[],[],[]
CUL-069,Cultural Transmission Fidelity,DRIVER,Cultural,CUL-F06,0,1,False,Moderate,[],[],[],[],[],[]
CUL-070,Heroic Narrative Centrality,DRIVER,Cultural,CUL-F07,0,1,False,Low,[],[],[],[],[],[]
CUL-071,National-Destiny Narrative Centrality,DRIVER,Cultural,CUL-F07,0,0,True,Low,[],[],[],[],[],[]
CUL-072,Symbolic Meaning Consensus,DRIVER,Cultural,CUL-F07,0,1,False,Low,[],[],[],[],[],[]
CUL-073,Ritual Significance,DRIVER,Cultural,CUL-F08,0,1,False,Low,[],[],[],[],[],[]
CUL-074,Customary Practice Entrenchment,DRIVER,Cultural,CUL-F08,0,0,True,Low,[],[],[],[],[],[]
CUL-075,Sacred Boundary Rigidity,DRIVER,Cultural,CUL-F09,0,0,True,Very Low,[],[],[],[],[],[]
CUL-076,Shame-Regulation Norm Strength,DRIVER,Cultural,CUL-F10,0,2,False,Moderate,[],[],[],[],[],[]
CUL-077,Authority-Based Knowledge Legitimacy,DRIVER,Cultural,CUL-F11,1,1,False,Low,[],[],[],[],[],[]
CUL-078,Collective Future Orientation,DRIVER,Cultural,CUL-F11,0,1,False,Low,[],[],[],[],[],[]
CUL-079,Fatalistic Worldview Prevalence,DRIVER,Cultural,CUL-F11,0,1,False,Low,[],[],[],[],[],[]
CUL-080,Silence Appropriateness Norm,DRIVER,Cultural,CUL-F12,0,1,False,Moderate,[],[],[],[],[],[]
CUL-081,Communication Explicitness Convention,DRIVER,Cultural,CUL-F12,1,0,False,Moderate,[],[],[],[],[],[]
CUL-082,Collective Identity Narrative Centrality,DRIVER,Cultural,CUL-F13,1,2,False,Low,[],[],[],[],[],[]
CUL-083,Cultural Prototype Consensus,DRIVER,Cultural,CUL-F13,1,1,False,Low,[],[],[],[],[],[]
CUL-084,Cultural Boundary Rigidity,DRIVER,Cultural,CUL-F13,3,0,False,Low,[],[],[],[],[],[]
CUL-085,Assimilation Expectation Strength,DRIVER,Cultural,CUL-F13,0,2,False,Moderate,[],[],[],[],[],[]
CUL-086,Multicultural Accommodation Norm Strength,DRIVER,Cultural,CUL-F13,1,1,False,Moderate,[],[],[],[],[],[]
CUL-087,Heritage Continuity Norm Strength,DRIVER,Cultural,CUL-F13,3,1,False,Low,[],[],[],[],[],[]
CUL-088,Generational Cultural Distance,RELATIONAL_DERIVED_STATE,Cultural,CUL-F13,0,1,False,Moderate,[],[],"[{""alignmentRequirements"": ""Match analytic level, scope, and time window"", ""entityId"": null, ""externalParameterType"": ""GENERATION_A_CULTURAL_PROFILE"", ""required"": true, ""role"": ""CONSTITUENT_OR_INPUT"", ""unitScaleExpectations"": ""Aligned with derivation logic""}, {""alignmentRequirements"": ""Match analytic level, scope, and time window"", ""entityId"": null, ""externalParameterType"": ""GENERATION_B_CULTURAL_PROFILE"", ""required"": true, ""role"": ""CONSTITUENT_OR_INPUT"", ""unitScaleExpectations"": ""Aligned with derivation logic""}]","[""RDS_CAUSAL_SOURCE_REVIEW"", ""STRUCTURAL_RDS_ROOT_REVIEW_NOT_EXECUTION_VIOLATION"", ""NO_PER_RECORD_DERIVATION_VERSION_USE_FROZEN_COMMIT""]",[],[]
CUL-089,Violence-Legitimacy Norm Strength,DRIVER,Cultural,CUL-F09,0,0,True,Moderate,[],[],[],[],[],[]
CUL-090,Reconciliation and Forgiveness Norm Strength,DRIVER,Cultural,CUL-F13,0,0,True,Moderate,[],[],[],[],[],[]
CUL-091,Civic-Duty Norm Strength,DRIVER,Cultural,CUL-F01,0,0,True,Moderate,[],[],[],[],[],[]
ENV-001,Destination Proximity,DRIVER,Physical / Environmental,ENV-F01,0,1,False,Low,[],[],[],[],[],[]
ENV-002,Travel Distance,DRIVER,Physical / Environmental,ENV-F01,2,0,False,Low,[],[],[],[],[],[]
ENV-003,Route Directness,DRIVER,Physical / Environmental,ENV-F01,1,0,False,Low,[],[],[],[],[],[]
ENV-004,Street and Path Connectivity,DRIVER,Physical / Environmental,ENV-F01,0,1,False,Low,[],[],[],[],[],[]
ENV-005,Destination Density,DRIVER,Physical / Environmental,ENV-F01,0,0,True,Low,[],[],[],[],[],[]
ENV-006,Land-Use Mix,DRIVER,Physical / Environmental,ENV-F01,0,0,True,Low,[],[],[],[],[],[]
ENV-007,Geographic Remoteness,DRIVER,Physical / Environmental,ENV-F01,0,0,True,Low,[],[],[],[],[],[]
ENV-008,Barrier-Free Physical Accessibility,DRIVER,Physical / Environmental,ENV-F01,2,0,False,Low,[],[],[],[],[],[]
ENV-009,Sidewalk Continuity and Quality,DRIVER,Physical / Environmental,ENV-F02,0,1,False,Low,[],[],[],[],[],[]
ENV-010,Pedestrian Crossing Safety,DRIVER,Physical / Environmental,ENV-F02,0,0,True,Low,[],[],[],[],[],[]
ENV-011,Cycling Infrastructure Availability,DRIVER,Physical / Environmental,ENV-F02,0,0,True,Low,[],[],[],[],[],[]
ENV-012,Public-Transport Stop Accessibility,DRIVER,Physical / Environmental,ENV-F02,0,0,True,Low,[],[],[],[],[],[]
ENV-013,Parking Availability and Proximity,DRIVER,Physical / Environmental,ENV-F02,0,0,True,Low,[],[],[],[],[],[]
ENV-014,Traffic Volume,DRIVER,Physical / Environmental,ENV-F02,0,1,False,Low,[],[],[],[],[],[]
ENV-015,Traffic Speed,DRIVER,Physical / Environmental,ENV-F02,0,1,False,Low,[],[],[],[],[],[]
ENV-016,Road Congestion Level,DRIVER,Physical / Environmental,ENV-F02,0,1,False,Low,[],[],[],[],[],[]
ENV-017,Travel-Time Delay,DRIVER,Physical / Environmental,ENV-F02,2,0,False,Low,[],[],[],[],[],[]
ENV-018,Internal Layout Complexity,DRIVER,Physical / Environmental,ENV-F03,0,1,False,Low,[],[],[],[],[],[]
ENV-019,Sightline Visibility,DRIVER,Physical / Environmental,ENV-F03,0,1,False,Low,[],[],[],[],[],[]
ENV-020,Entrance Placement and Physical Permeability,DRIVER,Physical / Environmental,ENV-F03,1,0,False,Low,[],[],[],[],[],[]
ENV-021,Exit Placement and Distribution,DRIVER,Physical / Environmental,ENV-F03,0,0,True,Low,[],[],[],[],[],[]
ENV-022,Vertical-Circulation Placement,DRIVER,Physical / Environmental,ENV-F03,0,1,False,Low,[],[],[],[],[],[]
ENV-023,Seating and Furniture Arrangement,DRIVER,Physical / Environmental,ENV-F03,0,0,True,Low,[],[],[],[],[],[]
ENV-024,Workspace Openness,DRIVER,Physical / Environmental,ENV-F03,0,0,True,Low,[],[],[],[],[],[]
ENV-025,Spatial Enclosure,DRIVER,Physical / Environmental,ENV-F03,0,0,True,Low,[],[],[],[],[],[]
ENV-026,Wayfinding Signage Placement,DRIVER,Physical / Environmental,ENV-F04,0,0,True,Low,[],[],[],[],[],[]
ENV-027,Physical Landmark Salience,DRIVER,Physical / Environmental,ENV-F04,0,0,True,Low,[],[],[],[],[],[]
ENV-028,Environmental Legibility,DRIVER,Physical / Environmental,ENV-F04,1,0,False,Low,[],[],[],[],[],[]
ENV-029,Option Visibility,DRIVER,Physical / Environmental,ENV-F04,0,0,True,Low,[],[],[],[],[],[]
ENV-030,Option Proximity and Placement,DRIVER,Physical / Environmental,ENV-F04,1,0,False,Low,[],[],[],[],[],[]
ENV-031,Physical Option Availability,DRIVER,Physical / Environmental,ENV-F04,1,0,False,Low,[],[],[],[],[],[]
ENV-032,Physical Access-Barrier Magnitude,DRIVER,Physical / Environmental,ENV-F04,0,0,True,Low,[],[],[],[],[],[]
ENV-033,Objective Occupancy Density,DRIVER,Physical / Environmental,ENV-F05,0,1,False,Low,[],[],[],[],[],[]
ENV-034,Interpersonal Physical Proximity,DRIVER,Physical / Environmental,ENV-F05,0,0,True,Low,[],[],[],[],[],[]
ENV-035,Acoustic Privacy,DRIVER,Physical / Environmental,ENV-F05,0,0,True,Low,[],[],[],[],[],[]
ENV-036,Visual Privacy,DRIVER,Physical / Environmental,ENV-F05,0,0,True,Low,[],[],[],[],[],[]
ENV-037,Queue Length and Waiting-Space Density,DRIVER,Physical / Environmental,ENV-F05,1,0,False,Low,[],[],[],[],[],[]
ENV-038,Bottleneck Flow Constraint,DRIVER,Physical / Environmental,ENV-F05,0,1,False,Low,[],[],[],[],[],[]
ENV-039,Ambient Noise Level,DRIVER,Physical / Environmental,ENV-F06,1,3,False,Moderate,[],[],[],[],[],[]
ENV-040,Speech Intelligibility,DRIVER,Physical / Environmental,ENV-F06,1,0,False,Moderate,[],[],[],[],[],[]
